WastewaterCounts,Deaths
102120.866,0
100207.5552,4
33557.376,0
31599.7248,0
17916.016,2
16551.12,0
10478.4336,0
12337.56,0
26844,0
79457.288,0
24951.7328,1
24404.1904,0
51147.696,0
30376.5632,0
22310.5632,1
32214.5696,0
101660.6176,0
71177.2224,0
144716.9904,1
492930.6272,0
430183.3328,0
464072.808,0
752938.832,0
792354.008,2
710360.3392,0
656676.5952,4
757011.4384,1
734773.208,1
1139660.285,0
1232752.938,0
1508186.603,0
1475541.754,2
1084801.805,0
1203051.714,5
1218275.549,3
976596.2352,5
1207442.248,3
1171616.389,3
1372105.006,0
1832523.456,0
1613444.227,1
2210640.63,5
1410009.894,1
1152230.99,8
1410449.63,2
790931.9792,1
726473.96,4
894801.9616,7
1328620.507,0
1471993.526,13
1209915.89,21
1156260.23,0
926750.9,5
996479.61,15
860963.99,0
534279.45,10
668470.16,6
348017.92,3
444817.68,12
1024890.81,8
848239.0448,0
807123.5872,5
350234.3984,3
352651.0016,0
526196.3056,2
522684.57,4
217169.51,3
349599.15,2
194910.92,0
369876.9,0
208195.82,4
369247.2704,0
439444.656,3
353046.5056,1
380141.28,0
579461.2928,0
543224.5504,0
311193.3504,0
190505.1936,0
417463.6544,0
321418.3536,2
209340.5616,0
309237.6704,1
560883.3648,3
296245.816,0
379142.9696,4
649295.9664,2
290915.04,2
628079.104,0
441621.5552,0
1817558.869,2
1102727.808,5
463000.232,0
379855.2336,4
1620409.098,2
489029.8848,0
861837.3824,4
1869069.47,2
1506107.82,4
1179656.45,2
1248044.94,0
524615.81,4
539361.37,4
571431.74,3
254710.03,5
184007.71,12
103119.16,5
93566.9,5
150894.8,3
87722.2,7
14692.26,0
73268.3,3
40128.65,1
23983.86,0
16668.01,0
46568.03,3
17520.25,0
20814.97,3
17608.02,1
11011.46,0
30712.62,1
26797.54,0
10990.06,0
18223,0
24333.31,0
41171.23,1
16029.52,1
16357.09,3
11032.36,0
23730.7,0
46256.92,2
11237.57,0
14906.17,0
13298.02,0
12535.77,0
52448.1,2
32605.3,0
15015.29,0
8009.07,1
20415.97,0
33106.25,0
36123.56,1
85335.09,0
34000.64,0
126152.59,0
48396.75,1
56701.98,0
104949.47,0
229102.86,0
162709.9,1
262925.69,0
339825.15,0
247463.93,0
185089.03,0
213620.56,1
81796.8,0
121478.97,1
301000.39,0
101039.41,0
259296.3,2
281014.73,0
274102.7,0
185518.18,1
263572.73,1
230075.09,1
126460.08,1
322150.73,1